timestamp,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_magnitude,gyro_magnitude,class
0.0,-8.663614511690033,4.48471769248331,-78.65252763934339,-0.0674857679097051,0.0255346827809972,0.0123500680080225,0.0,0.0,0.0,0.07320432415432519,0.0,Idle
0.0095120000000008,-8.66649382214411,4.5074988287624365,-78.6409231494505,-0.0626300536284991,0.0305728715332933,0.037298676313911,0.0,0.0,0.0,0.07904691863741328,0.0,Idle
0.0190320000000099,-8.689521951724695,4.496444672033574,-78.6282800990638,-0.0719795558460184,0.040253636625858,0.0138209555163081,0.0,0.0,0.0,0.08362075419882593,0.0,Idle
0.0285259999999993,-8.723551167076637,4.4931851088844965,-78.6189580210343,-0.0684728975726429,0.061195938922213,0.0142492500217505,0.0,0.0,0.0,0.09293288852041147,0.0,Idle
0.0380480000000034,-8.774223131723522,4.506775353223809,-78.61474018341988,-0.0580705026288502,0.078745688691564,0.0456248819087028,0.0,0.0,0.0,0.10795692016845924,0.0,Idle
0.0475610000000017,-8.834415763865822,4.539020963202265,-78.61736118440578,-0.0471075542901712,0.0881827196634017,0.0569163512689527,0.0,0.0,0.0,0.11504253456963791,0.0,Idle
0.0570660000000202,-8.895128749367494,4.599090314574004,-78.6296419096857,-0.0140649581234664,0.0994086154967468,0.0453020962639087,0.0,0.0,0.0,0.11014615657343367,0.0,Idle
0.0665720000000078,-8.963303905837169,4.666376483727189,-78.65196308468381,-0.0187364391201541,0.0933592928860261,0.0077723250374823,0.0,0.0,0.0,0.09553753584623333,0.0,Idle
0.0760760000000004,-9.017729636096952,4.716340266633141,-78.68190761560483,-0.0154619474373542,0.0772525246565896,0.0064999001470217,0.0,0.0,0.0,0.07905234396457667,0.0,Idle
0.085595000000012,-9.047303482763724,4.7435776564801655,-78.71678750114005,-0.0126575994568806,0.0634418311657342,0.0053682058885637,0.0,0.0,0.0,0.06491454690694803,0.0,Idle
0.0951019999999971,-9.04620421764568,4.730079331570918,-78.7491478010392,-0.0098210622420004,0.0493699763471786,0.0041650887493352,0.0,0.0,0.0,0.050509363412857014,0.0,Idle
0.1046110000000055,-9.010216158085756,4.677433924691424,-78.77191395015255,-0.0335038060279683,0.0311175547780424,0.0072953739386172,0.0,0.0,0.0,0.04630366847916534,0.0,Idle
